"scenario_index","return_code","elapsed_seconds","log_file","command"
"74","0","125.43887960000028","outputs/revised_model/main_run/logs/scenario_074.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""74"",""--reuse-gate-files""]"
"75","0","152.22718739999982","outputs/revised_model/main_run/logs/scenario_075.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""75"",""--reuse-gate-files""]"
"76","0","177.56284380000034","outputs/revised_model/main_run/logs/scenario_076.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""76"",""--reuse-gate-files""]"
"77","0","213.12755879999892","outputs/revised_model/main_run/logs/scenario_077.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""77"",""--reuse-gate-files""]"
"78","0","101.03726620000089","outputs/revised_model/main_run/logs/scenario_078.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""78"",""--reuse-gate-files""]"
"79","0","145.2027847999998","outputs/revised_model/main_run/logs/scenario_079.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""79"",""--reuse-gate-files""]"
"80","0","168.2625590000007","outputs/revised_model/main_run/logs/scenario_080.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""80"",""--reuse-gate-files""]"
"81","0","187.8690164999989","outputs/revised_model/main_run/logs/scenario_081.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""81"",""--reuse-gate-files""]"
"82","0","197.0701833999992","outputs/revised_model/main_run/logs/scenario_082.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""82"",""--reuse-gate-files""]"
"83","0","206.79951579999943","outputs/revised_model/main_run/logs/scenario_083.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""83"",""--reuse-gate-files""]"
"84","0","210.3622556000009","outputs/revised_model/main_run/logs/scenario_084.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""84"",""--reuse-gate-files""]"
"85","0","199.1918446","outputs/revised_model/main_run/logs/scenario_085.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""85"",""--reuse-gate-files""]"
"86","0","162.66653810000025","outputs/revised_model/main_run/logs/scenario_086.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""86"",""--reuse-gate-files""]"
"87","0","148.05985239999973","outputs/revised_model/main_run/logs/scenario_087.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""87"",""--reuse-gate-files""]"
"88","0","122.25258309999845","outputs/revised_model/main_run/logs/scenario_088.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""88"",""--reuse-gate-files""]"
