scope,model_key,alpha,p_event,history_class,gate_failing_trajectories
scenario,partial_hic_fallback,1.0,0.2,earlier_deletion_only,476
scenario,partial_hic_fallback,1.0,0.2,earlier_deletion_with_nondeletion,919
scenario,partial_hic_fallback,1.0,0.2,inversion_only_history,1706
scenario,partial_hic_fallback,1.0,0.2,mixed_inversion_duplication,554
scenario,partial_hic_fallback,1.0,0.25,deletion_only,2979
scenario,partial_hic_fallback,1.0,0.25,duplication_only_history,477
scenario,partial_hic_fallback,1.0,0.25,earlier_deletion_only,490
scenario,partial_hic_fallback,1.0,0.25,earlier_deletion_with_nondeletion,1345
scenario,partial_hic_fallback,1.0,0.25,inversion_only_history,1825
scenario,partial_hic_fallback,1.0,0.25,mixed_inversion_duplication,722
scenario,partial_hic_fallback,1.0,0.3,deletion_only,3065
scenario,partial_hic_fallback,1.0,0.3,duplication_only_history,472
scenario,partial_hic_fallback,1.0,0.3,earlier_deletion_only,513
scenario,partial_hic_fallback,1.0,0.3,earlier_deletion_with_nondeletion,1593
scenario,partial_hic_fallback,1.0,0.3,inversion_only_history,1941
scenario,partial_hic_fallback,1.0,0.3,mixed_inversion_duplication,854
scenario,partial_hic_fallback,1.5,0.03,deletion_only,1327
scenario,partial_hic_fallback,1.5,0.03,duplication_only_history,53
scenario,partial_hic_fallback,1.5,0.03,earlier_deletion_only,50
scenario,partial_hic_fallback,1.5,0.03,earlier_deletion_with_nondeletion,17
scenario,partial_hic_fallback,1.5,0.03,inversion_only_history,160
scenario,partial_hic_fallback,1.5,0.03,mixed_inversion_duplication,5
scenario,partial_hic_fallback,1.5,0.05,deletion_only,1939
scenario,partial_hic_fallback,1.5,0.05,duplication_only_history,104
scenario,partial_hic_fallback,1.5,0.05,earlier_deletion_only,128
scenario,partial_hic_fallback,1.5,0.05,earlier_deletion_with_nondeletion,52
scenario,partial_hic_fallback,1.5,0.05,inversion_only_history,375
scenario,partial_hic_fallback,1.5,0.05,mixed_inversion_duplication,28
scenario,partial_hic_fallback,1.5,0.07,deletion_only,2280
scenario,partial_hic_fallback,1.5,0.07,duplication_only_history,172
scenario,partial_hic_fallback,1.5,0.07,earlier_deletion_only,204
scenario,partial_hic_fallback,1.5,0.07,earlier_deletion_with_nondeletion,132
scenario,partial_hic_fallback,1.5,0.07,inversion_only_history,621
scenario,partial_hic_fallback,1.5,0.07,mixed_inversion_duplication,65
