scope,model_key,alpha,p_event,precursor_event_type,n_precursor_events,n_trajectories,same_chromosome_fraction,final_pair_activation_fraction,proposal_probability_increase_fraction,final_pair_lethal_hazard_increase_fraction,hazard_increase_ci_low_event_level,hazard_increase_ci_high_event_level,median_proposal_log2_ratio_when_nonzero,median_distance_change_when_observable,n_total_hazard_sampled,total_lethal_hazard_increase_fraction_sample,median_total_hazard_log2_ratio_nonzero_sample
scenario,linear_distance,1.5,0.25,inversion,5498,3356,0.4483448526736995,0.0,0.010549290651145871,0.011458712259003273,0.008966921946127165,0.01463271461056222,0.0,0.0,50,0.18,0.0
scenario,linear_distance,1.5,0.3,duplication,2649,2085,0.44620611551528877,0.01887504718761797,0.01887504718761797,0.01812004530011325,0.013694331772463066,0.023941335631904963,-0.01021897265726665,0.0,50,0.02,-0.00609170278640345
scenario,linear_distance,1.5,0.3,inversion,7076,3980,0.45124364047484455,0.0,0.010316563029960429,0.011447145279819108,0.009220184539488748,0.014204274861939533,0.0,0.0,50,0.2,0.0
scenario,linear_distance,2.0,0.03,duplication,35,33,0.37142857142857144,0.0,0.0,0.0,6.938893903907228e-18,0.09890099232440402,-0.0060301153918024,0.0,35,0.0,-0.0048273381339826
scenario,linear_distance,2.0,0.03,inversion,118,109,0.4830508474576271,0.0,0.0,0.00847457627118644,0.0014975405219652578,0.04644557241540204,0.0,0.0,50,0.16,0.0
scenario,linear_distance,2.0,0.05,duplication,99,97,0.4444444444444444,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.0017853072791700793,0.055015314645872934,-0.0061636858997156495,0.0,50,0.02,-0.0053049708717531
scenario,linear_distance,2.0,0.05,inversion,232,209,0.4224137931034483,0.0,0.0,0.0,0.0,0.016288310121142503,0.0,0.0,50,0.1,0.0
scenario,linear_distance,2.0,0.07,duplication,195,178,0.4256410256410256,0.010256410256410256,0.010256410256410256,0.010256410256410256,0.00281719866017395,0.03661853505049644,-0.0061636858997156,0.0,50,0.0,-0.005836210422797351
scenario,linear_distance,2.0,0.07,inversion,526,438,0.46387832699619774,0.0,0.0,0.0019011406844106464,0.0003356768802718676,0.010689241467370984,0.0,0.0,50,0.14,0.0
scenario,linear_distance,2.0,0.09,duplication,326,298,0.44785276073619634,0.006134969325153374,0.006134969325153374,0.006134969325153374,0.0016840452974651084,0.022089372540093147,-0.0061636858997159,0.0,50,0.0,-0.0052700394670995
scenario,linear_distance,2.0,0.09,inversion,888,728,0.44481981981981983,0.0,0.0022522522522522522,0.0033783783783783786,0.0011496043708125693,0.009885382535613326,0.0,0.0,50,0.12,0.0
scenario,linear_distance,2.0,0.1,duplication,394,364,0.4137055837563452,0.01015228426395939,0.01015228426395939,0.01015228426395939,0.003954909537193898,0.025809355996607677,-0.006216778758226901,0.0,50,0.0,-0.0048888955050446995
scenario,linear_distance,2.0,0.1,inversion,1010,807,0.44554455445544555,0.0,0.005940594059405941,0.005940594059405941,0.002725387329967269,0.012899796156927216,0.0,0.0,50,0.16,0.0
scenario,linear_distance,2.0,0.12,duplication,523,473,0.4149139579349904,0.0076481835564053535,0.0076481835564053535,0.0076481835564053535,0.0029781326940738102,0.01949819034853674,-0.0062234121466629,0.0,50,0.0,-0.008224676278372551
scenario,linear_distance,2.0,0.12,inversion,1408,1065,0.43394886363636365,0.0,0.002130681818181818,0.002130681818181818,0.0007248828623973927,0.006245771497699567,0.0,0.0,50,0.08,0.0
scenario,linear_distance,2.0,0.15,duplication,751,671,0.43142476697736354,0.0013315579227696406,0.0013315579227696406,0.0013315579227696406,0.0002350913531433724,0.007503565224915243,-0.0062234121466627,0.0,50,0.0,-0.00590672050350665
scenario,linear_distance,2.0,0.15,inversion,2113,1502,0.42214860388073827,0.0,0.007572172266919072,0.008045433033601515,0.005029263806402848,0.012847114541636428,0.0,0.0,50,0.12,0.0
scenario,linear_distance,2.0,0.18,duplication,1120,942,0.43839285714285714,0.008035714285714285,0.008035714285714285,0.008035714285714285,0.004233312284987588,0.015201331853887223,-0.0062234121466629,0.0,50,0.0,-0.004333750141572
scenario,linear_distance,2.0,0.18,inversion,2903,1934,0.437822941784361,0.0,0.005167068549776094,0.005511539786427834,0.0033954478261658152,0.008934587825394972,0.0,0.0,50,0.16,0.0
scenario,linear_distance,2.0,0.2,duplication,1264,1069,0.40427215189873417,0.00870253164556962,0.00870253164556962,0.00870253164556962,0.004866237270934068,0.015516010557379598,-0.0062234121466627,0.0,50,0.04,-0.005039432483625801
