model_key,model_name,alpha,p_event,seed,pearson_r,spearman_r,rmse,hotspot_auroc_top10_within_chromosome,hotspot_auprc_top10_within_chromosome,hotspot_positive_fraction,n_sites
linear_distance,linear-distance sampling,1.0,0.07,1740433454,0.3739951362936763,0.11603068125381373,0.013939578722018406,0.48813706354369985,0.12523989591028845,0.10860655737704918,488
linear_distance,linear-distance sampling,1.0,0.09,1595675989,0.3830420080907735,0.13772939311191967,0.013871491224401924,0.5027325959661678,0.12262338960142877,0.10860655737704918,488
linear_distance,linear-distance sampling,1.0,0.1,3958821903,0.39370207646111816,0.13955530399356442,0.013800993257899042,0.5164823248752982,0.12113919567941506,0.10860655737704918,488
linear_distance,linear-distance sampling,1.0,0.12,2778378777,0.38194458353163935,0.12491044201575012,0.013880627273996667,0.5032530904359142,0.12200844947380765,0.10860655737704918,488
linear_distance,linear-distance sampling,1.0,0.15,1037225636,0.38787184450429113,0.12652052418068205,0.013839415757274673,0.5051398828887443,0.12654613550637828,0.10860655737704918,488
linear_distance,linear-distance sampling,1.0,0.18,1673311115,0.43287424955709136,0.14514117260486453,0.013531300243779538,0.5273259596616786,0.15924074168662727,0.10860655737704918,488
linear_distance,linear-distance sampling,1.0,0.2,3518261095,0.3751805344631085,0.12151612981704002,0.013923310457128732,0.5222294513120798,0.1233673520839023,0.10860655737704918,488
linear_distance,linear-distance sampling,1.0,0.25,92951844,0.39141456959593157,0.12752090638008398,0.013814385235155121,0.524202992843201,0.12880805676184695,0.10860655737704918,488
linear_distance,linear-distance sampling,1.0,0.3,1561271711,0.40897687892498047,0.12184945626675074,0.013695644686318236,0.5156365213619605,0.1283944441536474,0.10860655737704918,488
linear_distance,linear-distance sampling,1.5,0.03,2576302229,0.36632597505734427,0.1479557873929199,0.014003520055345648,0.5518542615484711,0.13310378516739,0.10860655737704918,488
linear_distance,linear-distance sampling,1.5,0.05,2692316041,0.38207739241958916,0.1092018835680396,0.013889958952386778,0.5313597918022122,0.14211759953592673,0.10860655737704918,488
linear_distance,linear-distance sampling,1.5,0.07,1182193551,0.39842081854008393,0.10170921674158993,0.013768893433176305,0.502450661461722,0.13167319620465823,0.10860655737704918,488
linear_distance,linear-distance sampling,1.5,0.09,2683194250,0.396511621928129,0.1370503004203892,0.01378192265949949,0.5006506180871828,0.1398061733538791,0.10860655737704918,488
linear_distance,linear-distance sampling,1.5,0.1,140491699,0.38736601272444,0.120387486996799,0.013842762625300462,0.5007156798959012,0.13252899510553798,0.10860655737704918,488
linear_distance,linear-distance sampling,1.5,0.12,2157732798,0.4081250680764116,0.11855803131676647,0.013701575681898363,0.5243548037302104,0.1598000025661126,0.10860655737704918,488
linear_distance,linear-distance sampling,1.5,0.15,426479639,0.3954424776505333,0.13266809815729474,0.01378771779635054,0.5353502494036001,0.13325343127480926,0.10860655737704918,488
linear_distance,linear-distance sampling,1.5,0.18,3754543510,0.398642806581499,0.12462486954766246,0.013765752321119892,0.5128388635870744,0.14349619367210287,0.10860655737704918,488
linear_distance,linear-distance sampling,1.5,0.2,770846889,0.39481528758714085,0.13084969047210807,0.013791739609720065,0.5171980047711993,0.12365066308120061,0.10860655737704918,488
linear_distance,linear-distance sampling,1.5,0.25,2950421996,0.38986254455369124,0.11811486741544598,0.013824276493311792,0.5071351116894383,0.13231035148532558,0.10860655737704918,488
linear_distance,linear-distance sampling,1.5,0.3,2308636446,0.38876129107354673,0.1331441079344822,0.01383221366280386,0.5355671220993277,0.12705152474179282,0.10860655737704918,488
linear_distance,linear-distance sampling,2.0,0.03,624955490,0.39112520556265024,0.11760642435266168,0.013826527037279731,0.5296681847755368,0.1365008672576235,0.10860655737704918,488
linear_distance,linear-distance sampling,2.0,0.05,2715674654,0.3693592900691368,0.10486908692862415,0.013971235677991222,0.5076339188896118,0.12320951776114794,0.10860655737704918,488
linear_distance,linear-distance sampling,2.0,0.07,308999449,0.3798669443814974,0.11702991698505509,0.013896674585988884,0.5429407937540663,0.12955443213826023,0.10860655737704918,488
linear_distance,linear-distance sampling,2.0,0.09,3011066200,0.4002545220394946,0.11873918861307979,0.013755303309234947,0.5468228150075906,0.1328053911721767,0.10860655737704918,488
linear_distance,linear-distance sampling,2.0,0.1,4101281670,0.3965365048522049,0.12255424581354982,0.013780235056281842,0.5098026458468878,0.12414012896066261,0.10860655737704918,488
